Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Inlet Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Outlet Temperature [C](TimeStep),SPACE1-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE2-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE3-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE4-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE5-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SUPPLY FAN 1:Fan Electric Power [W](TimeStep),CENTRAL CHILLER:Chiller Electric Power [W](TimeStep),HW CIRC PUMP:Pump Electric Power [W](TimeStep),CW CIRC PUMP:Pump Electric Power [W](TimeStep),CW DEMAND INLET NODE:System Node Temperature [C](TimeStep),CW DEMAND ENTRANCE PIPE OUTLET NODE:System Node Temperature [C](TimeStep),CW DEMAND EXIT PIPE INLET NODE:System Node Temperature [C](TimeStep),CW DEMAND OUTLET NODE:System Node Temperature [C](TimeStep),SUPPLY SIDE EXIT PIPE INLET NODE:System Node Temperature [C](TimeStep),CW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),CENTRAL CHILLER INLET NODE:System Node Temperature [C](TimeStep),CENTRAL CHILLER OUTLET NODE:System Node Temperature [C](TimeStep) 
 06/04  00:01:00,17.2,22.4025784122658,20.7977936539683,20.8597699508628,20.7950651789679,20.8823261253174,21.2192956667286,9.07290000803923,13.3763467612846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.919227119064,9.07290000803923,13.3763467612846,9.07290000803923,9.07290000803923 
 06/04  00:02:00,17.2,22.3926594634493,20.7938899127718,20.8556573805053,20.7909421619312,20.8779827335148,21.21643042972,9.07290000803923,13.387602298827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9288758870104,9.07290000803923,13.387602298827,9.07290000803923,9.07290000803923 
 06/04  00:03:00,17.2,22.3827536812315,20.7899739833432,20.8515229880155,20.7867888310968,20.8736198623304,21.2135734734042,9.07290000803923,13.3988285520779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9384995714169,9.07290000803923,13.3988285520779,9.07290000803923,9.07290000803923 
 06/04  00:04:00,17.2,22.3728615781901,20.7860464525153,20.8473677832979,20.7826060256222,20.8692384986358,21.2107247958545,9.07290000803923,13.4100258614332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9480984656189,9.07290000803923,13.4100258614332,9.07290000803923,9.07290000803923 
 06/04  00:05:00,17.2,22.3629829679168,20.7821102016041,20.8431957792464,20.778398202974,20.8648426341056,21.2078843893669,9.07290000803923,13.4211943851079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9576727062895,9.07290000803923,13.4211943851079,9.07290000803923,9.07290000803923 
 06/04  00:06:00,17.2,22.3531187145502,20.7781683879833,20.8390113431702,20.7741703010108,20.8604366152304,21.2050522484716,9.07290000803923,13.4323341970351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9672223574202,9.07290000803923,13.4323341970351,9.07290000803923,9.07290000803923 
 06/04  00:07:00,17.2,22.3432687376556,20.7742237520919,20.8348182544052,20.7699266415813,20.8560242003966,21.2022283641026,9.07290000803923,13.443445332702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9767474497483,9.07290000803923,13.443445332702,9.07290000803923,9.07290000803923 
 06/04  00:08:00,17.2,22.3334339442759,20.7702785655454,20.8306196185241,20.7656708305978,20.8516084740448,21.1994127266042,9.07290000803923,13.4545278105933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9862479992515,9.07290000803923,13.4545278105933,9.07290000803923,9.07290000803923 
 06/04  00:09:00,17.2,22.3236142172818,20.7663347377343,20.8264180126942,20.7614059174707,20.8471919921078,21.1966053197766,9.07290000803923,13.4655816422042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,13.9957240158086,9.07290000803923,13.4655816422042,9.07290000803923,9.07290000803923 
 06/04  00:10:00,17.2,22.3138104622045,20.7623939164978,20.8222156274976,20.7571345465715,20.842776923917,21.1938061254006,9.07290000803923,13.4766068367001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43375854220445,7.43375854220445,7.43375854220445,14.0051755072411,9.07290000803923,13.4766068367001,9.07290000803923,9.07290000803923 
