Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Inlet Temperature [C](TimeStep),CHILLED WATER LOOP:Plant Supply Side Outlet Temperature [C](TimeStep),SPACE1-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE2-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE3-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE4-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SPACE5-1 VAV REHEAT:Zone Air Terminal VAV Damper Position [](TimeStep),SUPPLY FAN 1:Fan Electric Power [W](TimeStep),CENTRAL CHILLER:Chiller Electric Power [W](TimeStep),HW CIRC PUMP:Pump Electric Power [W](TimeStep),CW CIRC PUMP:Pump Electric Power [W](TimeStep),CW DEMAND INLET NODE:System Node Temperature [C](TimeStep),CW DEMAND ENTRANCE PIPE OUTLET NODE:System Node Temperature [C](TimeStep),CW DEMAND EXIT PIPE INLET NODE:System Node Temperature [C](TimeStep),CW DEMAND OUTLET NODE:System Node Temperature [C](TimeStep),SUPPLY SIDE EXIT PIPE INLET NODE:System Node Temperature [C](TimeStep),CW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),CENTRAL CHILLER INLET NODE:System Node Temperature [C](TimeStep),CENTRAL CHILLER OUTLET NODE:System Node Temperature [C](TimeStep) 
 06/04  00:01:00,17.2,22.3958201729117,20.7964352628967,20.858362497116,20.7936973424959,20.8809216636803,21.2177555476175,9.63626606790452,13.3761787292723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0096190671459,9.63626606790452,13.3761787292723,9.63626606790452,9.63626606790452 
 06/04  00:02:00,17.2,22.3859273544921,20.7925358782515,20.8542543670917,20.7895786874045,20.8765826788951,21.2148953659338,9.63626606790452,13.3874382463285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0190030771126,9.63626606790452,13.3874382463285,9.63626606790452,9.63626606790452 
 06/04  00:03:00,17.2,22.376047614178,20.7886243036565,20.8501244119018,20.7854297168202,20.8722242121445,21.2120434575846,9.63626606790452,13.398668460596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0283626892934,9.63626606790452,13.398668460596,9.63626606790452,9.63626606790452 
 06/04  00:04:00,17.2,22.3661814599084,20.7847011253904,20.8459736409399,20.7812512693366,20.8678472497773,21.2091998202872,9.63626606790452,13.4098697119787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0376981887836,9.63626606790452,13.4098697119787,9.63626606790452,9.63626606790452 
 06/04  00:05:00,17.2,22.3563287074913,20.7807692240855,20.8418060665298,20.7770478017426,20.8634557828872,21.2063644460267,9.63626606790452,13.421042158332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0470097083757,9.63626606790452,13.421042158332,9.63626606790452,9.63626606790452 
 06/04  00:06:00,17.2,22.3464902169054,20.7768317564464,20.8376260554396,20.7728242512398,20.8590541574139,21.2035373290277,9.63626606790452,13.4321858733714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0562973102287,9.63626606790452,13.4321858733714,9.63626606790452,9.63626606790452 
 06/04  00:07:00,17.2,22.3366659102663,20.7728914623307,20.8334373865416,20.7685849391083,20.8546461312707,21.2007184599526,9.63626606790452,13.443300892472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0655610241967,9.63626606790452,13.443300892472,9.63626606790452,9.63626606790452 
 06/04  00:08:00,17.2,22.3268566907909,20.7689506128358,20.8292431649998,20.764333470755,20.8502347884809,21.1979078288768,9.63626606790452,13.454387234073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0748008658023,9.63626606790452,13.454387234073,9.63626606790452,9.63626606790452 
 06/04  00:09:00,17.2,22.3170624441498,20.7650111169064,20.8250459676329,20.7600728951548,20.8458226846203,21.1951054193648,9.63626606790452,13.4654449096647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0840168446501,9.63626606790452,13.4654449096647,9.63626606790452,9.63626606790452 
 06/04  00:10:00,17.2,22.3072840723137,20.7610746219727,20.8208479847073,20.755805856281,20.8414119886967,21.1923112129632,9.63626606790452,13.4764739284305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.0932089683512,9.63626606790452,13.4764739284305,9.63626606790452,9.63626606790452 
 06/04  00:11:00,17.2,22.2975214203104,20.7571425663682,20.8166511021848,20.7515346760943,20.8370045654452,21.1895251842677,9.63626606790452,13.4874742993892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.1023772443405,9.63626606790452,13.4874742993892,9.63626606790452,9.63626606790452 
 06/04  00:12:00,17.2,22.287775389824,20.7532162136328,20.8124569541388,20.7472614054301,20.8326020277765,21.1867473062275,9.63626606790452,13.4984460323675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64343240265616,7.64343240265616,7.64343240265616,14.111521680705,9.63626606790452,13.4984460323675,9.63626606790452,9.63626606790452 
